,id,country,city,cities,location,locations,sourceName,sourceNames,sourceType,sourceTypes,firstUpdated,lastUpdated,parameters,countsByMeasurement,count,coordinates.longitude,coordinates.latitude
23,ES-156,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1684A,"[""Rubí (ca n'Oriol)"", ""Rub� (ca n'Oriol)"", 'ES1684A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'so2']","[{'parameter': 'co', 'count': 13293}, {'parameter': 'no2', 'count': 13071}, {'parameter': 'o3', 'count': 13022}, {'parameter': 'pm10', 'count': 7587}, {'parameter': 'so2', 'count': 13221}]",60194,2.0425,41.49208
24,ES-162,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1773A,"['Cubelles (poliesportiu)', 'ES1773A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['no2', 'so2']","[{'parameter': 'no2', 'count': 13126}, {'parameter': 'so2', 'count': 12263}]",25389,1.6722,41.20223
25,ES-179,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1778A,"['Montseny (la Castanya)', 'ES1778A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['co', 'no2', 'o3', 'so2']","[{'parameter': 'co', 'count': 13250}, {'parameter': 'no2', 'count': 12972}, {'parameter': 'o3', 'count': 13025}, {'parameter': 'so2', 'count': 13104}]",52351,2.35802,41.77934
26,ES-100,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1814A,"[""Mollet del Vallès (pista d'atletisme)"", ""Mollet del Vall�s (pista d'atletisme)"", 'ES1814A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,['no2'],"[{'parameter': 'no2', 'count': 13162}]",13162,2.21205,41.54917
27,ES-45,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1815A,"['Vilafranca del Penedès (zona esportiva)', 'Vilafranca del Pened�s (zona esportiva)', 'ES1815A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['no2', 'o3']","[{'parameter': 'no2', 'count': 12727}, {'parameter': 'o3', 'count': 12950}]",25677,1.68658,41.34682
28,ES-20,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1816A,"['Mataró (passeig dels Molins)', 'Matar� (passeig dels Molins)', 'ES1816A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['co', 'no2', 'o3', 'so2']","[{'parameter': 'co', 'count': 13514}, {'parameter': 'no2', 'count': 13057}, {'parameter': 'o3', 'count': 13116}, {'parameter': 'so2', 'count': 13223}]",52910,2.44325,41.54716
29,ES-173,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1817A,"['Santa Perpètua de Mogoda (Onze de Setembre)', 'Santa Perp�tua de Mogoda (Onze de Setembre)', 'ES1817A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['no2', 'pm10', 'so2']","[{'parameter': 'no2', 'count': 12869}, {'parameter': 'pm10', 'count': 7701}, {'parameter': 'so2', 'count': 13159}]",33729,2.1838,41.52671
30,ES-163,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1851A,"['Berga (poliesportiu)', 'ES1851A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['co', 'no2', 'o3', 'so2']","[{'parameter': 'co', 'count': 5674}, {'parameter': 'no2', 'count': 13001}, {'parameter': 'o3', 'count': 13028}, {'parameter': 'so2', 'count': 13118}]",44821,1.84824,42.09791
31,ES-104,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1853A,"['Castellet i la Gornal (Clariana)', 'ES1853A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-01-29 07:00:00+00:00,"['no2', 'so2']","[{'parameter': 'no2', 'count': 12074}, {'parameter': 'so2', 'count': 11949}]",24023,1.6177,41.24489
32,ES-46,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1856A,"[""Barcelona (parc de la Vall d'Hebron)"", 'ES1856A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['co', 'no2', 'o3', 'so2']","[{'parameter': 'co', 'count': 13419}, {'parameter': 'no2', 'count': 12698}, {'parameter': 'o3', 'count': 12857}, {'parameter': 'so2', 'count': 12896}]",51870,2.14799,41.42608
33,ES-189,ES,Barcelona,"['CCAA Cataluña', 'CCAA Catalu�a', 'Barcelona']",ES1891A,"['Granollers (Francesc Macià)', 'Granollers (Francesc Maci�)', 'ES1891A']",EEA Spain,['EEA Spain'],government,['government'],2016-11-17 23:00:00+00:00,2020-03-06 19:00:00+00:00,"['no2', 'o3', 'pm10']","[{'parameter': 'no2', 'count': 13092}, {'parameter': 'o3', 'count': 8290}, {'parameter': 'pm10', 'count': 7745}]",29127,2.28712,41.59867
