,location,parameter,value,country,city,latitude,longitude,date
187,ES1135A,no2,18,ES,Barcelona,41.5776268914668,1.625893365,2020_03_08-02:00:00
188,ES1018A,o3,35,ES,Barcelona,41.5561153974668,2.007401267,2020_03_08-02:00:00
189,ES1642A,o3,13,ES,Barcelona,41.9356663994661,2.238568301,2020_03_08-02:00:00
190,ES1816A,o3,55,ES,Barcelona,41.5471597114669,2.443253787,2020_03_08-02:00:00
191,ES1135A,o3,29,ES,Barcelona,41.5776268914668,1.625893365,2020_03_08-02:00:00
192,ES1438A,o3,35,ES,Barcelona,41.3853432834672,2.15382196,2020_03_08-02:00:00
193,ES1929A,no2,49,ES,Barcelona,41.3214952094674,2.09772526,2020_03_08-02:00:00
194,ES1923A,no2,2,ES,Barcelona,41.8460342084663,2.217575622,2020_03_08-02:00:00
195,ES1262A,no2,11,ES,Barcelona,41.5611753964668,2.101405057,2020_03_08-03:00:00
196,ES0692A,pm10,14,ES,Barcelona,41.3705041074673,2.114973082,2020_03_08-03:00:00
197,ES1817A,pm10,19,ES,Barcelona,41.5267059304669,2.183795315,2020_03_08-03:00:00
198,ES1438A,o3,36,ES,Barcelona,41.3853432834672,2.15382196,2020_03_08-03:00:00
199,ES1480A,no2,35,ES,Barcelona,41.3987432504672,2.153385124,2020_03_08-03:00:00
200,ES1684A,pm10,17,ES,Barcelona,41.492082862467,2.042497085,2020_03_08-03:00:00
201,ES1275A,pm10,9,ES,Barcelona,41.6890494414666,2.495746675,2020_03_08-03:00:00
202,ES1275A,o3,8,ES,Barcelona,41.6890494414666,2.495746675,2020_03_08-03:00:00
203,ES1891A,pm10,15,ES,Barcelona,41.5986669004668,2.287117688,2020_03_08-03:00:00
204,ES1891A,no2,20,ES,Barcelona,41.5986669004668,2.287117688,2020_03_08-03:00:00
205,ES1148A,pm10,25,ES,Barcelona,41.4256209034672,2.222244805,2020_03_08-03:00:00
206,ES0694A,pm10,25,ES,Barcelona,41.3921574584672,2.009802277,2020_03_08-03:00:00
207,ES1892A,o3,11,ES,Barcelona,41.4439835604671,2.237875306,2020_03_08-03:00:00
208,ES1339A,o3,52,ES,Barcelona,41.2190364604676,1.721248774,2020_03_08-03:00:00
209,ES1135A,no2,19,ES,Barcelona,41.5776268914668,1.625893365,2020_03_08-03:00:00
210,ES1397A,o3,12,ES,Barcelona,42.0032765034659,2.287271914,2020_03_08-03:00:00
211,ES1551A,no2,37,ES,Barcelona,41.512675807467,2.125383709,2020_03_08-03:00:00
