CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08019004_10_20200110,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,10,10/01/2020,20,V,22,V,23,V,20,V,21,V,21,V,21,V,20,V,20,V,9,V,8,V,7,V,8,V,12,V,9,V,11,V,13,V,19,V,17,V,14,V,14,V,16,V,16,V,14,V,"(41.40388, 2.204501)"
08019004_10_20200104,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,4,04/01/2020,15,V,14,V,13,V,12,V,12,V,11,V,14,V,18,V,21,V,23,V,23,V,27,V,26,V,28,V,24,V,31,V,21,V,16,V,14,V,13,V,10,V,10,V,10,V,6,V,"(41.40388, 2.204501)"
08019004_10_20200103,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,3,03/01/2020,21,V,17,V,19,V,12,V,12,V,12,V,13,V,16,V,14,V,20,V,22,V,21,V,17,V,20,V,21,V,15,V,21,V,18,V,31,V,25,V,22,V,22,V,22,V,19,V,"(41.40388, 2.204501)"
08019004_10_20200102,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,2,02/01/2020,18,V,10,V,12,V,10,V,10,V,13,V,19,V,21,V,30,V,29,V,33,V,38,V,30,V,16,V,16,V,17,V,23,V,27,V,23,V,24,V,19,V,17,V,21,V,26,V,"(41.40388, 2.204501)"
08019004_10_20200101,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,1,01/01/2020,18,V,13,V,10,V,9,V,8,V,12,V,17,V,18,V,19,V,19,V,16,V,15,V,14,V,14,V,14,V,13,V,14,V,8,V,9,V,13,V,21,V,22,V,24,V,24,V,"(41.40388, 2.204501)"
08019004_10_20200107,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,7,07/01/2020,31,V,27,V,26,V,23,V,16,V,15,V,15,V,21,V,27,V,31,V,33,V,37,V,39,V,49,V,36,V,30,V,39,V,35,V,47,V,37,V,27,V,23,V,20,V,19,V,"(41.40388, 2.204501)"
08019004_10_20200106,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,1,6,06/01/2020,25,V,25,V,22,V,19,V,14,V,14,V,18,V,18,V,17,V,18,V,20,V,21,V,19,V,20,V,16,V,19,V,19,V,21,V,24,V,30,V,39,V,36,V,37,V,33,V,"(41.40388, 2.204501)"
08019043_10_20200118,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,18,18/01/2020,13,V,8,V,3,V,9,V,15,V,12,V,16,V,12,V,12,V,17,V,12,V,14,V,14,V,9,V,12,V,16,V,17,V,15,V,14,V,16,V,15,V,16,V,16,V,21,V,"(41.385315, 2.1537998)"
08019043_10_20200119,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,19,19/01/2020,31,V,24,V,19,V,15,V,12,V,12,V,7,V,4,V,4,V,6,V,7,V,9,V,10,V,7,V,9,V,11,V,13,V,33,V,17,V,16,V,16,V,13,V,11,V,10,V,"(41.385315, 2.1537998)"
08019043_10_20200120,8019043,8,19,43,Barcelona (Eixample),Barcelona,41.385315,2.1537998,26,traffic,urban,10,PM10,µg/m3,08019043_10_47,2020,1,20,20/01/2020,10,V,9,V,8,V,6,V,16,V,13,V,16,V,16,V,18,V,24,V,25,V,26,V,23,V,22,V,25,V,17,V,18,V,13,V,9,V,8,V,7,V,7,V,5,V,4,V,"(41.385315, 2.1537998)"
