lastUpdated,parameter,value,unit,sourceName,country,city,location,averagingPeriod.value,averagingPeriod.unit
2020-02-11 00:00:00+00:00,so2,2,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1773A,1,hours
2020-03-06 19:00:00+00:00,no2,1,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1773A,1,hours
2020-03-06 19:00:00+00:00,co,100,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1778A,1,hours
2020-03-06 19:00:00+00:00,no2,3,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1778A,1,hours
2020-03-06 19:00:00+00:00,so2,3,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1778A,1,hours
2020-03-06 19:00:00+00:00,o3,51,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1778A,1,hours
2020-03-06 19:00:00+00:00,no2,61,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1814A,1,hours
2020-03-06 19:00:00+00:00,no2,3,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1815A,1,hours
2020-03-06 19:00:00+00:00,o3,79,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1815A,1,hours
2020-03-06 19:00:00+00:00,no2,48,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1816A,1,hours
2020-03-06 19:00:00+00:00,o3,40,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1816A,1,hours
2020-03-06 19:00:00+00:00,co,300,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1816A,1,hours
2020-03-06 19:00:00+00:00,so2,1,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1816A,1,hours
2020-03-06 19:00:00+00:00,no2,33,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1817A,1,hours
2020-03-06 19:00:00+00:00,so2,2,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1817A,1,hours
2020-03-06 19:00:00+00:00,pm10,17,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1817A,1,hours
2018-07-31 09:00:00+00:00,co,500,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1851A,1,hours
2020-03-06 19:00:00+00:00,so2,1,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1851A,1,hours
2020-03-06 19:00:00+00:00,o3,75,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1851A,1,hours
2020-03-06 19:00:00+00:00,no2,18,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1851A,1,hours
2020-01-29 07:00:00+00:00,no2,29,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1853A,1,hours
2020-01-23 00:00:00+00:00,so2,1,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1853A,1,hours
2020-03-06 19:00:00+00:00,no2,16,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1856A,1,hours
2020-03-06 19:00:00+00:00,co,400,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1856A,1,hours
2020-03-06 19:00:00+00:00,so2,1,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1856A,1,hours
2020-03-06 19:00:00+00:00,o3,69,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1856A,1,hours
2020-03-06 19:00:00+00:00,o3,53,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1891A,1,hours
2020-03-06 19:00:00+00:00,pm10,20,b'\xc2\xb5g/m\xc2\xb3',EEA Spain,ES,Barcelona,ES1891A,1,hours
