CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
17013001_10_20200125,17013001,17,13,1,Begur,Begur,41.95867,3.2129009,200,background,rural,10,PM10,µg/m3,17013001_10_47,2020,1,25,25/01/2020,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,"(41.95867, 3.2129009)"
43162005_8_20200125,43162005,43,162,5,Vandellòs (Barranc del Terme),Vandellòs i l'Hospitalet de l',40.93944,0.83139044,96,industrial,rural,8,NO2,µg/m3,43162005_8_8,2020,1,25,25/01/2020,3,V,3,V,3,V,2,V,3,V,2,V,2,V,4,V,9,V,10,V,13,V,13,V,15,V,14,V,12,V,11,V,10,V,10,V,11,V,10,V,12,V,14,V,10,V,8,V,"(40.93944, 0.83139044)"
08019058_8_20200125,8019058,8,19,58,Barcelona (Observatori Fabra),Barcelona,41.41843,2.1238973,415,background,suburban,8,NO2,µg/m3,08019058_8_8,2020,1,25,25/01/2020,16,V,15,V,11,V,16,V,21,V,8,V,12,V,8,V,7,V,9,V,10,V,9,V,9,V,6,V,12,V,20,V,11,V,11,V,13,V,19,V,25,V,16,V,3,V,4,V,"(41.41843, 2.1238973)"
08245012_8_20200125,8245012,8,245,12,Santa Coloma de Gramenet,Santa Coloma de Gramenet,41.447422,2.209497,23,background,urban,8,NO2,µg/m3,08245012_8_8,2020,1,25,25/01/2020,50,V,46,V,42,V,39,V,40,V,38,V,34,V,30,V,31,V,35,V,36,V,40,V,44,V,46,V,38,V,17,V,19,V,26,V,40,V,55,V,58,V,59,V,53,V,50,V,"(41.447422, 2.209497)"
08019057_14_20200125,8019057,8,19,57,Barcelona (Palau Reial),Barcelona,41.38749,2.1151996,81,background,urban,14,O3,µg/m3,08019057_14_6,2020,1,25,25/01/2020,6,V,4,V,12,V,21,V,17,V,16,V,10,V,2,V,4,V,15,V,26,V,40,V,41,V,56,V,53,V,51,V,58,V,54,V,55,V,47,V,35,V,34,V,35,V,38,V,"(41.38749, 2.1151996)"
08125002_14_20200125,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,14,O3,µg/m3,08125002_14_6,2020,1,25,25/01/2020,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,2,V,4,V,6,V,12,V,22,V,24,V,39,V,35,V,21,V,3,V,1,V,1,V,1,V,1,V,"(41.48197, 2.1882975)"
25051001_10_20200125,25051001,25,51,1,Bellver de Cerdanya,Bellver de Cerdanya,42.368282,1.7767994,1060,background,rural,10,PM10,µg/m3,25051001_10_47,2020,1,25,25/01/2020,5,V,6,V,7,V,8,V,11,V,11,V,12,V,13,V,14,V,16,V,,N,,N,17,V,17,V,15,V,12,V,12,V,14,V,18,V,26,V,28,V,32,V,28,V,29,V,"(42.368282, 1.7767994)"
08019044_10_20200125,8019044,8,19,44,Barcelona (Gràcia - Sant Gervasi),Barcelona,41.398724,2.1533988,57,traffic,urban,10,PM10,µg/m3,08019044_10_47,2020,1,25,25/01/2020,74,V,78,V,80,V,80,V,86,V,90,V,84,V,85,V,73,V,97,V,115,V,106,V,87,V,83,V,89,V,93,V,102,V,90,V,97,V,86,V,83,V,152,V,94,V,60,V,"(41.398724, 2.1533988)"
08283004_14_20200125,8283004,8,283,4,Tona (Zona Esportiva),Tona,41.84666,2.2175014,620,background,rural,14,O3,µg/m3,08283004_14_6,2020,1,25,25/01/2020,5,V,9,V,4,V,3,V,3,V,4,V,3,V,3,V,3,V,5,V,8,V,10,V,11,V,20,V,27,V,26,V,38,V,31,V,18,V,19,V,13,V,13,V,11,V,9,V,"(41.84666, 2.2175014)"
08112003_10_20200125,8112003,8,112,3,Manlleu,Manlleu,42.003307,2.2872992,460,background,suburban,10,PM10,µg/m3,08112003_10_47,2020,1,25,25/01/2020,31,V,30,V,27,V,20,V,17,V,21,V,22,V,29,V,27,V,27,V,36,V,43,V,42,V,47,V,56,V,52,V,44,V,36,V,51,V,56,V,59,V,63,V,57,V,50,V,"(42.003307, 2.2872992)"
