CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08022006_14_20200117,8022006,8,22,6,Berga,Berga,42.0979,1.8482014,661,background,suburban,14,O3,µg/m3,08022006_14_6,2020,1,17,17/01/2020,32,V,33,V,32,V,28,V,26,V,24,V,11,V,12,V,1,V,11,V,26,V,35,V,41,V,53,V,63,V,62,V,59,V,58,V,36,V,20,V,12,V,32,V,58,V,44,V,"(42.0979, 1.8482014)"
08022006_14_20200118,8022006,8,22,6,Berga,Berga,42.0979,1.8482014,661,background,suburban,14,O3,µg/m3,08022006_14_6,2020,1,18,18/01/2020,35,V,51,V,56,V,53,V,52,V,53,V,51,V,41,V,47,V,41,V,29,V,32,V,59,V,56,V,55,V,61,V,59,V,49,V,38,V,40,V,38,V,37,V,38,V,40,V,"(42.0979, 1.8482014)"
08022006_14_20200126,8022006,8,22,6,Berga,Berga,42.0979,1.8482014,661,background,suburban,14,O3,µg/m3,08022006_14_6,2020,1,26,26/01/2020,29,V,32,V,31,V,29,V,30,V,33,V,27,V,25,V,16,V,20,V,29,V,30,V,35,V,46,V,45,V,46,V,49,V,32,V,25,V,24,V,24,V,23,V,25,V,28,V,"(42.0979, 1.8482014)"
08022006_14_20200125,8022006,8,22,6,Berga,Berga,42.0979,1.8482014,661,background,suburban,14,O3,µg/m3,08022006_14_6,2020,1,25,25/01/2020,33,V,35,V,38,V,37,V,36,V,33,V,34,V,32,V,27,V,26,V,16,V,24,V,38,V,37,V,41,V,64,V,53,V,35,V,22,V,23,V,22,V,25,V,26,V,25,V,"(42.0979, 1.8482014)"
08022006_14_20200124,8022006,8,22,6,Berga,Berga,42.0979,1.8482014,661,background,suburban,14,O3,µg/m3,08022006_14_6,2020,1,24,24/01/2020,47,V,44,V,45,V,47,V,48,V,45,V,44,V,40,V,27,V,30,V,32,V,28,V,46,V,47,V,48,V,51,V,41,V,33,V,22,V,18,V,17,V,19,V,28,V,33,V,"(42.0979, 1.8482014)"
08089005_14_20200109,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,9,09/01/2020,14,V,11,V,12,V,13,V,19,V,14,V,8,V,4,V,5,V,4,V,4,V,19,V,66,V,78,V,83,V,81,V,77,V,77,V,55,V,44,V,47,V,26,V,17,V,38,V,"(41.303097, 1.9914981)"
08089005_14_20200101,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,1,01/01/2020,17,V,11,V,13,V,12,V,11,V,11,V,12,V,12,V,12,V,18,V,39,V,41,V,55,V,55,V,60,V,62,V,60,V,29,V,21,V,17,V,19,V,19,V,18,V,13,V,"(41.303097, 1.9914981)"
08089005_14_20200102,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,2,02/01/2020,12,V,11,V,13,V,11,V,9,V,8,V,6,V,4,V,3,V,4,V,4,V,9,V,53,V,67,V,69,V,67,V,62,V,29,V,17,V,25,V,32,V,29,V,23,V,56,V,"(41.303097, 1.9914981)"
08089005_14_20200103,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,3,03/01/2020,59,V,63,V,70,V,60,V,59,V,64,V,64,V,15,V,3,V,25,V,24,V,28,V,30,V,27,V,28,V,36,V,12,V,4,V,3,V,5,V,7,V,8,V,10,V,10,V,"(41.303097, 1.9914981)"
08089005_14_20200104,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,1,4,04/01/2020,12,V,14,V,15,V,23,V,24,V,14,V,12,V,20,V,20,V,12,V,11,V,29,V,51,V,44,V,43,V,41,V,19,V,13,V,9,V,15,V,23,V,21,V,15,V,20,V,"(41.303097, 1.9914981)"
