,location,parameter,value,country,city,latitude,longitude,date
87,ES1923A,o3,42,ES,Barcelona,41.8460342084663,2.217575622,2020_03_08-03:00:00
88,ES0694A,o3,15,ES,Barcelona,41.3921574584672,2.009802277,2020_03_08-03:00:00
89,ES1018A,o3,48,ES,Barcelona,41.5561153974668,2.007401267,2020_03_08-03:00:00
90,ES1222A,o3,41,ES,Barcelona,41.6912731944666,2.440944864,2020_03_08-03:00:00
91,ES1480A,o3,38,ES,Barcelona,41.3987432504672,2.153385124,2020_03_08-03:00:00
92,ES1148A,o3,5,ES,Barcelona,41.4256209034672,2.222244805,2020_03_08-03:00:00
93,ES0584A,o3,4,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-03:00:00
94,ES1679A,o3,33,ES,Barcelona,41.3864139334672,2.187416735,2020_03_08-03:00:00
95,ES1856A,o3,54,ES,Barcelona,41.4260771994671,2.147992032,2020_03_08-03:00:00
96,ES1684A,o3,17,ES,Barcelona,41.492082862467,2.042497085,2020_03_08-03:00:00
97,ES1135A,o3,22,ES,Barcelona,41.5776268914668,1.625893365,2020_03_08-03:00:00
98,ES1891A,o3,38,ES,Barcelona,41.5986669004668,2.287117688,2020_03_08-03:00:00
99,ES1262A,o3,45,ES,Barcelona,41.5611753964668,2.101405057,2020_03_08-04:00:00
100,ES1438A,o3,44,ES,Barcelona,41.3853432834672,2.15382196,2020_03_08-04:00:00
101,ES0584A,o3,4,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-04:00:00
102,ES1892A,o3,26,ES,Barcelona,41.4439835604671,2.237875306,2020_03_08-04:00:00
103,ES1992A,o3,78,ES,Barcelona,41.3874846394672,2.115149666,2020_03_08-04:00:00
104,ES1679A,o3,55,ES,Barcelona,41.3864139334672,2.187416735,2020_03_08-04:00:00
105,ES1856A,o3,70,ES,Barcelona,41.4260771994671,2.147992032,2020_03_08-04:00:00
106,ES1778A,o3,78,ES,Barcelona,41.7793434514664,2.358018901,2020_03_08-04:00:00
107,ES1815A,o3,43,ES,Barcelona,41.3468230374673,1.686575492,2020_03_08-04:00:00
108,ES1891A,o3,31,ES,Barcelona,41.5986669004668,2.287117688,2020_03_08-04:00:00
109,ES1222A,o3,35,ES,Barcelona,41.6912731944666,2.440944864,2020_03_08-04:00:00
110,ES1125A,o3,26,ES,Barcelona,41.7302802604665,1.825306423,2020_03_08-04:00:00
111,ES1642A,o3,21,ES,Barcelona,41.9356663994661,2.238568301,2020_03_08-04:00:00
112,ES1135A,o3,19,ES,Barcelona,41.5776268914668,1.625893365,2020_03_08-04:00:00
113,ES1480A,o3,51,ES,Barcelona,41.3987432504672,2.153385124,2020_03_08-04:00:00
114,ES1275A,o3,9,ES,Barcelona,41.6890494414666,2.495746675,2020_03_08-04:00:00
115,ES1148A,o3,7,ES,Barcelona,41.4256209034672,2.222244805,2020_03_08-04:00:00
116,ES1397A,o3,22,ES,Barcelona,42.0032765034659,2.287271914,2020_03_08-04:00:00
117,ES1339A,o3,53,ES,Barcelona,41.2190364604676,1.721248774,2020_03_08-04:00:00
118,ES0694A,o3,8,ES,Barcelona,41.3921574584672,2.009802277,2020_03_08-04:00:00
119,ES1018A,o3,56,ES,Barcelona,41.5561153974668,2.007401267,2020_03_08-04:00:00
120,ES1684A,o3,6,ES,Barcelona,41.492082862467,2.042497085,2020_03_08-04:00:00
121,ES1816A,o3,71,ES,Barcelona,41.5471597114669,2.443253787,2020_03_08-04:00:00
122,ES1851A,o3,54,ES,Barcelona,42.0979101924658,1.848237224,2020_03_08-04:00:00
123,ES1923A,o3,39,ES,Barcelona,41.8460342084663,2.217575622,2020_03_08-04:00:00
124,ES1480A,o3,56,ES,Barcelona,41.3987432504672,2.153385124,2020_03_08-05:00:00
125,ES0694A,o3,5,ES,Barcelona,41.3921574584672,2.009802277,2020_03_08-05:00:00
126,ES0584A,o3,5,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-05:00:00
127,ES1275A,o3,12,ES,Barcelona,41.6890494414666,2.495746675,2020_03_08-05:00:00
128,ES1856A,o3,62,ES,Barcelona,41.4260771994671,2.147992032,2020_03_08-05:00:00
129,ES1679A,o3,54,ES,Barcelona,41.3864139334672,2.187416735,2020_03_08-05:00:00
130,ES1992A,o3,74,ES,Barcelona,41.3874846394672,2.115149666,2020_03_08-05:00:00
131,ES1148A,o3,6,ES,Barcelona,41.4256209034672,2.222244805,2020_03_08-05:00:00
