CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08125002_10_20200216,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,16,16/02/2020,23,V,22,V,20,V,19,V,18,V,16,V,18,V,19,V,21,V,20,V,23,V,23,V,18,V,16,V,21,V,26,V,21,V,20,V,21,V,22,V,23,V,25,V,22,V,20,V,"(41.48197, 2.1882975)"
08125002_10_20200217,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,17,17/02/2020,17,V,18,V,19,V,20,V,20,V,21,V,23,V,24,V,30,V,31,V,28,V,30,V,26,V,27,V,37,V,37,V,38,V,34,V,33,V,30,V,28,V,26,V,21,V,19,V,"(41.48197, 2.1882975)"
08125002_10_20200218,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,18,18/02/2020,17,V,14,V,12,V,5,V,4,V,5,V,7,V,11,V,18,V,21,V,18,V,24,V,20,V,15,V,11,V,10,V,16,V,22,V,21,V,18,V,17,V,19,V,20,V,17,V,"(41.48197, 2.1882975)"
08125002_10_20200220,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,20,20/02/2020,25,V,23,V,22,V,20,V,21,V,20,V,26,V,31,V,42,V,42,V,40,V,26,V,17,V,17,V,17,V,27,V,33,V,41,V,41,V,32,V,30,V,30,V,23,V,27,V,"(41.48197, 2.1882975)"
08125002_10_20200221,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,21,21/02/2020,31,V,29,V,25,V,25,V,25,V,26,V,28,V,32,V,39,V,59,V,54,V,41,V,26,V,27,V,26,V,29,V,29,V,33,V,32,V,31,V,26,V,25,V,25,V,25,V,"(41.48197, 2.1882975)"
08125002_10_20200222,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,22,22/02/2020,27,V,28,V,29,V,27,V,28,V,27,V,28,V,32,V,35,V,40,V,38,V,30,V,30,V,33,V,28,V,26,V,24,V,28,V,30,V,28,V,28,V,27,V,30,V,36,V,"(41.48197, 2.1882975)"
08125002_10_20200223,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,23,23/02/2020,32,V,33,V,31,V,27,V,26,V,24,V,22,V,17,V,20,V,23,V,30,V,26,V,22,V,20,V,25,V,33,V,33,V,35,V,41,V,39,V,35,V,28,V,32,V,31,V,"(41.48197, 2.1882975)"
08125002_10_20200224,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,24,24/02/2020,28,V,28,V,27,V,25,V,25,V,26,V,31,V,39,V,51,V,,N,,N,40,V,43,V,49,V,45,V,35,V,44,V,47,V,55,V,59,V,45,V,29,V,24,V,24,V,"(41.48197, 2.1882975)"
08125002_10_20200227,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,27,27/02/2020,17,V,16,V,17,V,17,V,14,V,14,V,13,V,14,V,19,V,16,V,14,V,14,V,15,V,23,V,31,V,28,V,32,V,38,V,44,V,43,V,35,V,24,V,20,V,18,V,"(41.48197, 2.1882975)"
08125002_10_20200219,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,19,19/02/2020,15,V,16,V,17,V,20,V,17,V,15,V,20,V,27,V,40,V,48,V,38,V,26,V,15,V,15,V,21,V,23,V,24,V,27,V,29,V,25,V,26,V,21,V,24,V,26,V,"(41.48197, 2.1882975)"
08125002_10_20200226,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,26,26/02/2020,33,V,29,V,31,V,35,V,34,V,33,V,35,V,41,V,51,V,35,V,22,V,20,V,25,V,25,V,23,V,32,V,41,V,51,V,41,V,32,V,23,V,20,V,20,V,20,V,"(41.48197, 2.1882975)"
08125002_10_20200201,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,1,01/02/2020,35,V,38,V,30,V,28,V,23,V,21,V,19,V,12,V,12,V,13,V,19,V,16,V,12,V,11,V,12,V,11,V,19,V,18,V,21,V,27,V,27,V,27,V,33,V,31,V,"(41.48197, 2.1882975)"
08125002_10_20200202,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,2,02/02/2020,30,V,30,V,28,V,24,V,23,V,21,V,22,V,22,V,22,V,26,V,25,V,18,V,12,V,11,V,10,V,9,V,8,V,9,V,14,V,18,V,19,V,18,V,16,V,15,V,"(41.48197, 2.1882975)"
08125002_10_20200203,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,3,03/02/2020,14,V,17,V,21,V,19,V,17,V,14,V,14,V,27,V,49,V,73,V,55,V,45,V,34,V,28,V,30,V,33,V,27,V,44,V,41,V,40,V,44,V,43,V,44,V,43,V,"(41.48197, 2.1882975)"
08125002_10_20200204,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,4,04/02/2020,44,V,48,V,48,V,43,V,41,V,39,V,41,V,37,V,39,V,50,V,49,V,37,V,32,V,40,V,47,V,58,V,51,V,34,V,31,V,31,V,32,V,24,V,21,V,22,V,"(41.48197, 2.1882975)"
08125002_10_20200205,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,5,05/02/2020,17,V,10,V,10,V,9,V,10,V,14,V,20,V,30,V,37,V,45,V,44,V,29,V,14,V,15,V,10,V,11,V,11,V,17,V,25,V,30,V,35,V,35,V,27,V,23,V,"(41.48197, 2.1882975)"
08125002_10_20200206,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,6,06/02/2020,21,V,25,V,22,V,17,V,18,V,20,V,24,V,29,V,36,V,55,V,66,V,47,V,30,V,26,V,25,V,23,V,24,V,28,V,28,V,22,V,24,V,21,V,22,V,21,V,"(41.48197, 2.1882975)"
08125002_10_20200207,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,7,07/02/2020,21,V,22,V,22,V,21,V,19,V,19,V,25,V,32,V,43,V,61,V,71,V,70,V,55,V,39,V,34,V,31,V,28,V,30,V,27,V,25,V,24,V,23,V,25,V,23,V,"(41.48197, 2.1882975)"
08125002_10_20200208,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,8,08/02/2020,18,V,16,V,14,V,15,V,17,V,16,V,18,V,22,V,25,V,33,V,32,V,37,V,27,V,18,V,21,V,30,V,30,V,23,V,24,V,26,V,26,V,22,V,26,V,30,V,"(41.48197, 2.1882975)"
08125002_10_20200209,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,9,09/02/2020,27,V,27,V,25,V,25,V,26,V,24,V,23,V,23,V,25,V,31,V,31,V,27,V,29,V,26,V,29,V,31,V,25,V,23,V,22,V,18,V,22,V,25,V,24,V,21,V,"(41.48197, 2.1882975)"
08125002_10_20200210,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,10,10/02/2020,20,V,19,V,17,V,16,V,13,V,11,V,16,V,21,V,29,V,31,V,25,V,25,V,21,V,16,V,13,V,14,V,15,V,26,V,30,V,41,V,36,V,31,V,28,V,26,V,"(41.48197, 2.1882975)"
08125002_10_20200228,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,28,28/02/2020,21,V,27,V,28,V,24,V,20,V,22,V,27,V,36,V,47,V,65,V,30,V,24,V,28,V,29,V,28,V,27,V,25,V,27,V,29,V,27,V,25,V,23,V,23,V,23,V,"(41.48197, 2.1882975)"
