CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08298008_14_20200213,8298008,8,298,8,Vic,Vic,41.93501,2.2400014,498,background,suburban,14,O3,µg/m3,08298008_14_6,2020,2,13,13/02/2020,41,V,39,V,39,V,47,V,47,V,45,V,44,V,41,V,31,V,42,V,41,V,47,V,49,V,53,V,56,V,57,V,54,V,49,V,46,V,37,V,37,V,40,V,28,V,14,V,"(41.93501, 2.2400014)"
43148028_8_20200213,43148028,43,148,28,Tarragona (Parc de la Ciutat),Tarragona,41.1174,1.2417027,13,background,urban,8,NO2,µg/m3,43148028_8_8,2020,2,13,13/02/2020,9,V,6,V,6,V,8,V,9,V,25,V,34,V,46,V,49,V,55,V,39,V,29,V,9,V,19,V,27,V,28,V,36,V,43,V,34,V,60,V,32,V,37,V,51,V,37,V,"(41.1174, 1.2417027)"
08089005_14_20200213,8089005,8,89,5,Gavà,Gavà,41.303097,1.9914981,25,background,suburban,14,O3,µg/m3,08089005_14_6,2020,2,13,13/02/2020,35,V,26,V,16,V,17,V,12,V,8,V,6,V,4,V,5,V,30,V,63,V,67,V,69,V,76,V,77,V,77,V,69,V,61,V,62,V,57,V,23,V,7,V,6,V,7,V,"(41.303097, 1.9914981)"
08279011_10_20200213,8279011,8,279,11,Terrassa,Terrassa,41.556114,2.0073977,109,traffic,urban,10,PM10,µg/m3,08279011_10_47,2020,2,13,13/02/2020,9,V,9,V,10,V,8,V,5,V,9,V,10,V,13,V,18,V,24,V,17,V,15,V,17,V,17,V,19,V,19,V,15,V,21,V,25,V,24,V,26,V,31,V,32,V,24,V,"(41.556114, 2.0073977)"
43005002_14_20200213,43005002,43,5,2,Alcover,Alcover,41.278687,1.1798977,238,industrial,rural,14,O3,µg/m3,43005002_14_6,2020,2,13,13/02/2020,47,V,43,V,43,V,39,V,34,V,25,V,21,V,29,V,26,V,29,V,46,V,44,V,43,V,47,V,49,V,47,V,48,V,43,V,32,V,42,V,46,V,31,V,37,V,40,V,"(41.278687, 1.1798977)"
17125001_14_20200214,17125001,17,125,1,Pardines,Pardines,42.31196,2.2130551,1226,background,rural,14,O3,µg/m3,17125001_14_6,2020,2,14,14/02/2020,44,V,47,V,48,V,52,V,57,V,56,V,56,V,59,V,53,V,48,V,50,V,56,V,55,V,53,V,52,V,53,V,55,V,54,V,45,V,41,V,28,V,45,V,52,V,56,V,"(42.31196, 2.2130551)"
08194008_10_20200214,8194008,8,194,8,Sant Adrià de Besòs,Sant Adrià de Besòs,41.425594,2.2221997,7,industrial,urban,10,PM10,µg/m3,08194008_10_47,2020,2,14,14/02/2020,34,V,30,V,26,V,24,V,23,V,24,V,28,V,32,V,42,V,44,V,46,V,49,V,42,V,36,V,33,V,34,V,37,V,38,V,37,V,37,V,36,V,36,V,38,V,41,V,"(41.425594, 2.2221997)"
08019004_8_20200214,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,8,NO2,µg/m3,08019004_8_8,2020,2,14,14/02/2020,57,V,50,V,46,V,41,V,38,V,32,V,32,V,39,V,45,V,52,V,56,V,61,V,34,V,21,V,9,V,10,V,13,V,20,V,21,V,30,V,41,V,60,V,72,V,72,V,"(41.40388, 2.204501)"
08125013_10_20200214,8125013,8,125,13,Montcada i Reixac (Can Sant Joan),Montcada i Reixac,41.469826,2.1758358,29,industrial,suburban,10,PM10,µg/m3,08125013_10_47,2020,2,14,14/02/2020,20,V,18,V,20,V,18,V,17,V,21,V,24,V,32,V,42,V,49,V,49,V,54,V,71,V,40,V,34,V,38,V,36,V,35,V,38,V,37,V,37,V,38,V,37,V,23,V,"(41.469826, 2.1758358)"
17184001_14_20200214,17184001,17,184,1,Santa Pau,Santa Pau,42.14328,2.5102024,496,background,rural,14,O3,µg/m3,17184001_14_6,2020,2,14,14/02/2020,5,V,4,V,3,V,4,V,6,V,4,V,5,V,9,V,9,V,11,V,20,V,45,V,53,V,53,V,54,V,54,V,52,V,50,V,43,V,49,V,41,V,24,V,19,V,14,V,"(42.14328, 2.5102024)"
08305006_14_20200214,8305006,8,305,6,Vilafranca del Penedès,Vilafranca del Penedès,41.346813,1.6865987,192,background,suburban,14,O3,µg/m3,08305006_14_6,2020,2,14,14/02/2020,2,V,6,V,4,V,2,V,2,V,4,V,6,V,2,V,4,V,11,V,17,V,20,V,31,V,41,V,45,V,57,V,66,V,62,V,51,V,52,V,45,V,41,V,43,V,26,V,"(41.346813, 1.6865987)"
43123005_14_20200214,43123005,43,123,5,Reus,Reus,41.150803,1.1202013,102,traffic,suburban,14,O3,µg/m3,43123005_14_6,2020,2,14,14/02/2020,36,V,21,V,30,V,25,V,16,V,33,V,8,V,7,V,11,V,26,V,36,V,30,V,33,V,38,V,39,V,44,V,54,V,52,V,45,V,35,V,28,V,8,V,6,V,4,V,"(41.150803, 1.1202013)"
08125002_8_20200214,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,8,NO2,µg/m3,08125002_8_8,2020,2,14,14/02/2020,31,V,24,V,24,V,21,V,19,V,17,V,23,V,41,V,50,V,49,V,51,V,61,V,69,V,41,V,22,V,30,V,31,V,37,V,34,V,37,V,41,V,63,V,51,V,37,V,"(41.48197, 2.1882975)"
17184001_8_20200214,17184001,17,184,1,Santa Pau,Santa Pau,42.14328,2.5102024,496,background,rural,8,NO2,µg/m3,17184001_8_8,2020,2,14,14/02/2020,2,V,1,V,2,V,2,V,4,V,5,V,5,V,5,V,7,V,5,V,6,V,3,V,2,V,2,V,2,V,2,V,2,V,2,V,1,V,1,V,1,V,5,V,2,V,4,V,"(42.14328, 2.5102024)"
08125002_14_20200214,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,14,O3,µg/m3,08125002_14_6,2020,2,14,14/02/2020,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,30,V,49,V,45,V,50,V,44,V,39,V,34,V,25,V,8,V,6,V,4,V,"(41.48197, 2.1882975)"
08125002_10_20200214,8125002,8,125,2,Montcada i Reixac,Montcada i Reixac,41.48197,2.1882975,34,traffic,suburban,10,PM10,µg/m3,08125002_10_47,2020,2,14,14/02/2020,21,V,21,V,22,V,22,V,19,V,20,V,23,V,33,V,44,V,50,V,51,V,57,V,67,V,53,V,36,V,37,V,37,V,40,V,38,V,37,V,37,V,41,V,38,V,32,V,"(41.48197, 2.1882975)"
25051001_10_20200214,25051001,25,51,1,Bellver de Cerdanya,Bellver de Cerdanya,42.368282,1.7767994,1060,background,rural,10,PM10,µg/m3,25051001_10_47,2020,2,14,14/02/2020,12,V,10,V,9,V,7,V,6,V,8,V,7,V,8,V,11,V,15,V,,N,,N,,N,8,V,2,V,1,V,1,V,2,V,6,V,38,V,28,V,24,V,28,V,20,V,"(42.368282, 1.7767994)"
