CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08019058_10_20200328,8019058,8,19,58,Barcelona (Observatori Fabra),Barcelona,41.41843,2.1238973,415,background,suburban,10,PM10,µg/m3,08019058_10_47,2020,3,28,28/03/2020,11,V,9,V,8,V,10,V,9,V,9,V,10,V,9,V,12,V,12,V,13,V,14,V,13,V,13,V,13,V,13,V,12,V,13,V,15,V,16,V,13,V,16,V,16,V,15,V,
08019058_10_20200321,8019058,8,19,58,Barcelona (Observatori Fabra),Barcelona,41.41843,2.1238973,415,background,suburban,10,PM10,µg/m3,08019058_10_47,2020,3,21,21/03/2020,10,V,3,V,10,V,18,V,19,V,9,V,15,V,15,V,13,V,16,V,15,V,15,V,18,V,18,V,19,V,18,V,19,V,25,V,22,V,23,V,24,V,22,V,21,V,21,V,
08019058_10_20200323,8019058,8,19,58,Barcelona (Observatori Fabra),Barcelona,41.41843,2.1238973,415,background,suburban,10,PM10,µg/m3,08019058_10_47,2020,3,23,23/03/2020,17,V,17,V,15,V,12,V,14,V,16,V,12,V,10,V,8,V,7,V,7,V,12,V,20,V,14,V,17,V,18,V,20,V,22,V,28,V,20,V,23,V,19,V,21,V,20,V,
08019058_10_20200302,8019058,8,19,58,Barcelona (Observatori Fabra),Barcelona,41.41843,2.1238973,415,background,suburban,10,PM10,µg/m3,08019058_10_47,2020,3,2,02/03/2020,4,V,7,V,13,V,18,V,16,V,12,V,13,V,17,V,25,V,12,V,1,V,15,V,20,V,11,V,16,V,9,V,12,V,14,V,12,V,11,V,9,V,8,V,7,V,6,V,"(41.41843, 2.1238973)"
08019058_10_20200324,8019058,8,19,58,Barcelona (Observatori Fabra),Barcelona,41.41843,2.1238973,415,background,suburban,10,PM10,µg/m3,08019058_10_47,2020,3,24,24/03/2020,21,V,21,V,19,V,20,V,21,V,19,V,14,V,18,V,17,V,,N,,N,,N,24,V,20,V,17,V,16,V,19,V,16,V,17,V,17,V,16,V,15,V,14,V,13,V,
08019058_10_20200313,8019058,8,19,58,Barcelona (Observatori Fabra),Barcelona,41.41843,2.1238973,415,background,suburban,10,PM10,µg/m3,08019058_10_47,2020,3,13,13/03/2020,16,V,13,V,10,V,10,V,9,V,9,V,12,V,11,V,20,V,41,V,23,V,18,V,23,V,20,V,22,V,18,V,23,V,23,V,23,V,21,V,21,V,23,V,23,V,22,V,
08019058_10_20200326,8019058,8,19,58,Barcelona (Observatori Fabra),Barcelona,41.41843,2.1238973,415,background,suburban,10,PM10,µg/m3,08019058_10_47,2020,3,26,26/03/2020,7,V,8,V,9,V,8,V,8,V,10,V,10,V,7,V,9,V,10,V,10,V,10,V,6,V,3,V,3,V,5,V,7,V,10,V,12,V,12,V,13,V,13,V,14,V,14,V,
08019058_10_20200315,8019058,8,19,58,Barcelona (Observatori Fabra),Barcelona,41.41843,2.1238973,415,background,suburban,10,PM10,µg/m3,08019058_10_47,2020,3,15,15/03/2020,15,V,25,V,16,V,12,V,5,V,10,V,9,V,11,V,9,V,10,V,13,V,14,V,14,V,13,V,12,V,13,V,12,V,11,V,11,V,10,V,13,V,15,V,12,V,9,V,
08019058_10_20200330,8019058,8,19,58,Barcelona (Observatori Fabra),Barcelona,41.41843,2.1238973,415,background,suburban,10,PM10,µg/m3,08019058_10_47,2020,3,30,30/03/2020,14,V,19,V,20,V,23,V,27,V,23,V,20,V,19,V,17,V,15,V,11,V,17,V,17,V,11,V,6,V,6,V,5,V,7,V,9,V,7,V,8,V,7,V,8,V,9,V,
08019058_10_20200314,8019058,8,19,58,Barcelona (Observatori Fabra),Barcelona,41.41843,2.1238973,415,background,suburban,10,PM10,µg/m3,08019058_10_47,2020,3,14,14/03/2020,20,V,19,V,18,V,17,V,13,V,17,V,18,V,19,V,15,V,16,V,17,V,23,V,29,V,21,V,19,V,21,V,25,V,18,V,11,V,10,V,10,V,6,V,15,V,9,V,
